ID,VINÍCOLA,VINHO,URL,Uva,SAFRA,TIPO,PREÇO,RADAR,COMENTÁRIO,GUARDAR OU BEBER?,Para quem é este vinho?,Categoria Vinho,IMPORTADORA,PAÍS,REGIÃO,STATUS,IMAGEM
,Alheit Wines,Alheit Wines Cartology 2022,https://uvavinhos.com.br/produto/cartology-2022/,Chenin Blanc,2022,Branco,535.0,TRUE,"Em taça, apresenta coloração amarelo palha com reflexos dourados suaves. No nariz, destaca-se aroma complexo de pêra, maçã verde, flores brancas, mel e notas herbáceas, com leve toque mineral e nuances de feno. Em boca, revela textura cremosa e corpo médio, sustentados por acidez vibrante que confere frescor e equilíbrio, trazendo sabores que refletem o perfil aromático com final de intensidade média e boa persistência.",Guardar ou Beber,Nerd,Contemplativo,Uva Vinhos,África do Sul,Western Cape,Curadoria,https://drive.google.com/file/d/1VZ5CG_EPmo59TkHfvt1MXtSD2UHHjpwO/view?usp=drivesdk
,Alheit Wines,Alheit Wines Cartology 2023,https://uvavinhos.com.br/produto/cartology-2023/,Chenin Blanc,2023,Branco,535.0,TRUE,"Em taça, mostra coloração amarelo palha com brilho intenso. No nariz, destaca frutas de caroço como pêssego e damasco, acompanhadas por notas cítricas de limão e melão, além de nuances florais delicadas e toque mineral. Em boca, revela corpo cheio, textura cremosa e acidez vibrante que traz frescor, equilibrando o sabor rico e levemente adocicado. O final é longo, marcado por um caráter mineral e frutado persistente.",Guardar ou Beber,Nerd,Contemplativo,Uva Vinhos,África do Sul,Western Cape,Curadoria,https://drive.google.com/file/d/1gI6A8CGsmwJK0ZEcQtqv0iVqqtGG2cdE/view?usp=drivesdk
,António Maçanita,António Maçanita Azores Wine Company Arinto dos Açores 2023,https://www.worldwine.com.br/vin-po-azores-bc-arinto-acores-23-750-029870/p,Arinto,2023,Branco,499.0,TRUE,"De cor clara e brilhante, abre com notas salinas e minerais, acompanhadas por cítricos e maçã verde. Em boca, a acidez é alta e vibrante, marcada por tensão e frescor. A textura combina leve cremosidade com um traço firme e austero. O final traz amargor sutil e persistência salgada. Singular, mostra mais personalidade do que equilíbrio.",Beber,Curioso,Refrescante,WorldWine,Portugal,Açores,Curadoria,https://drive.google.com/file/d/1Ays925Ri91Cw6vTZDwFv5S4u4h0us7Ve/view?usp=drivesdk
,António Maçanita,"António Maçanita Azores Wine Company Verdelho ""O Original"" 2023",https://www.worldwine.com.br/vin-po-azores-bc-verdelho-original-23-750-029871/p,Verdejo,2023,Branco,499.0,TRUE,"Mostra coloração clara. No nariz, surgem notas cítricas frescas, fruta de caroço delicada e traço mineral evidente. Em boca, a acidez é alta, conferindo vivacidade ao conjunto, enquanto o corpo leve-médio sustenta boa definição. A textura é precisa, com salinidade marcada que reforça o caráter atlântico. O final é seco, direto e refrescante, privilegiando tensão e pureza.",Beber,Curioso,Refrescante,WorldWine,Portugal,Açores,Curadoria,https://drive.google.com/file/d/1oSfPRbK3CQQos08Z0VmNajO4XAkTV2Rq/view?usp=drivesdk
,António Maçanita,António Maçanita Fitapreta O Ancestral 2023,https://www.grandcru.com.br/vinho-fitapreta-branco-2023,Blend,2023,Branco,279.9,TRUE,"Cor amarelo limão, límpida e de boa vivacidade visual. No nariz, exibe notas francas de pera fresca, limão siciliano e um toque de casca de laranja, com leve nuance floral ao fundo. Em boca, é seco, com acidez marcada que confere frescor, corpo médio e textura linear. Os sabores cítricos dominam o palato, mantendo a coerência aromática, com discreto amargor final que reforça sua tensão. O final é médio, limpo e refrescante, com persistência cítrica sutil.",Beber,Curioso,Contemplativo,Grand Cru,Portugal,Alentejo,Curadoria,https://drive.google.com/file/d/1yL6Lnt4XFtSQz61VKoCsvhTPonNbklGy/view?usp=drivesdk
,António Maçanita,António Maçanita Palpite Reserva Alentejano 2021,https://www.grandcru.com.br/palpite-tinto-2021,"Antão Vaz, Verdelho, Arinto, Alicante e Tamarez",2021,Tinto,529.9,TRUE,"Em taça, tem cor vermelha média, com reflexos púrpura, com limpidez e com boa textura visual. No nariz, aromas intensos de frutas vermelhas, como framboesa e morango, combinados com notas herbáceas de alecrim e tomilho, além de sutis toques de barrica que lembram caixa de charuto e coco. Na boca, corpo médio a cheio, taninos firmes e acidez equilibrada. O final é longo e expressivo, destacando frescor e complexidade em uma experiência envolvente.",Guardar ou Beber,Curioso,Contemplativo,Grand Cru,Portugal,Alentejo,Curadoria,https://drive.google.com/file/d/17BNjyVMYOdhoUp7oaXgCfSmRKbFht9QX/view?usp=drivesdk
,Arianna Occhipinti,Arianna Occhipinti il Frappato Rosso IGT 2022,https://glouglou.com.br/products/occhipinti-il-frappato-igt-2022,Frappato,2022,Tinto,850.0,TRUE,"O nariz é expressivo e bem definido, com cereja madura, romã e ervas secas, além de um traço terroso que dá profundidade sem pesar. Em boca combina leveza e estrutura, acidez firme conduzindo o vinho e taninos finos bem integrados à fruta. A textura tem mais presença do que se espera, mas mantém fluidez e precisão. A fruta aparece nítida, sem doçura excessiva ou extração exagerada. Final seco e persistente.",Guardar ou Beber,Nerd,Contemplativo,011import,Itália,Sicília,Curadoria,https://drive.google.com/file/d/1Zs0i6ZVIDtcUOesiNYODA_oWGR1Mf9xN/view?usp=drivesdk
,Arianna Occhipinti,Arianna Occhipinti SP68 Rosso Frappato 2023,https://glouglou.com.br/products/occhipinti-sp68-rosso-frapatto-2023,Frappato e Nero d'Avola,2023,Tinto,490.0,TRUE,"Rubi claro e luminoso. O nariz é aberto e vibrante, com cereja fresca, framboesa e um floral delicado, além de leve traço terroso que dá identidade. Em boca é leve e suculento, com acidez viva e taninos macios que apenas moldam a fruta. A sensação é de energia e naturalidade, sem excessos de extração. Final seco, fresco, com a fruta ficando mais sutil no retrogosto.",Beber,Natureba,Refrescante,011import,Itália,Sicília,Curadoria,https://drive.google.com/file/d/1HFnl9B-IOopxy_mYrruWVuXwiarskIQU/view?usp=drivesdk
,Arnoux Père et Fils,Arnoux Père et Fils Aloxe-Corton Les Chaillots 2015,https://www.animavinum.com.br/produto/vinho-tinto-aloxe-corton-les-chaillots-9,Pinot Noir,2015,Tinto,645.0,TRUE,"Rubi intenso, com leve nuance granada começando a aparecer. No nariz combina cereja madura, ameixa e um toque de especiaria, além de fundo terroso que dá mais seriedade ao conjunto. Em boca mostra corpo mais cheio, taninos firmes e bem marcados, sustentados por acidez que mantém o vinho no eixo. Tem força, mas não é pesado, a madeira aparece integrada. Final seco, longo, com permanência de fruta e especiaria.",Guardar ou Beber,Clássico,Contemplativo,Anima Vinum,França,Borgonha,Curadoria,https://drive.google.com/file/d/1tjqJ2BS1RYWW1s5gEs9hne8RtnFjDF6F/view?usp=drivesdk
,Arpepe,Arpepe Valtellina Superiore DOCG Grumello Riserva Buon,https://www.cellarvinhos.com/vinho-tinto-valtellina-superiore-docg-grumello-riserva-buon-consiglio-2016/p,Nebbiolo,2016,Tinto,1195.0,TRUE,"De coloração rubi clara com reflexos granada, revela aromas discretos no início, que se intensificam com o tempo na taça. Notas de frutas vermelhas delicadas, cerejas azedas e violetas emergem ao lado de nuances terrosas e minerais. Na boca, apresenta alta acidez e taninos marcantes, porém bem integrados, com corpo médio e equilíbrio refinado. Os sabores acompanham o nariz, destacando a mineralidade e um caráter sutilmente salino. O final é prolongado, seco e levemente especiado, mostrando uma estrutura firme e elegante.",Beber ou Guardar,Curioso,Pedigree,Cellar,Itália,Lombardia,Curadoria,https://drive.google.com/file/d/1N5XqS4azO7RAI-qQhrwmuYOKJws8oaHd/view?usp=drivesdk
